accession	accession_version	strain	published_clade
AB114123	AB114123.1	P-562/CA10/Kanagawa/2000	
AB114142	AB114142.1	Sivas/T52/K01	
AB119640	AB119640.1	CA10/20051/Hiroshima.JP/03	E
AB119641	AB119641.1	CA10/20055/Hiroshima.JP/03	
AB121044	AB121044.1	CA10/80235/Hiroshima.JP/03	
AB121045	AB121045.1	CA10/20096/Hiroshima.JP/03	
AB126205	AB126205.1	P-2206/CA10/Kanagawa/2003	
AB126206	AB126206.1	P-2211/CA10/Kanagawa/2003	
AB126207	AB126207.1	P-2257/CA10/Kanagawa/2003	
AB126614	AB126614.1	CA10/80269/Hiroshima.JP/03	
AB162727	AB162727.1	P-2206/CA10/Kanagawa/2003	C
AB162728	AB162728.1	P-2208/CA10/Kanagawa/2003	E
AB162729	AB162729.1	P-2211/CA10/Kanagawa/2003	
AB162730	AB162730.1	P-2252/CA10/Kanagawa/2003	
AB162741	AB162741.1	P-2233/CA10/Kanagawa/2003	
AB162742	AB162742.1	P-2252/CA10/Kanagawa/2003	
AB162743	AB162743.1	P-2267/CA10/Kanagawa/2003	
AB162744	AB162744.1	P-2283/CA10/Kanagawa/2003	
AB162745	AB162745.1	P-2297/CA10/Kanagawa/2003	
AB162746	AB162746.1	HC77csf/CA10/Kanagawa/2003	
AB167759	AB167759.1	Aichi/421/92	
AB167982	AB167982.1	03-137NPR2	
AB167983	AB167983.1	03-139NGR2	
AB167984	AB167984.1	03-146NPC2	
AB167985	AB167985.1	03-148NPC3	
AB167986	AB167986.1	03-150NPC3	E
AB167987	AB167987.1	03-152NPR2	
AB167988	AB167988.1	03-154NPR3	
AB239932	AB239932.1	113-1/Mog/03	
AB239980	AB239980.1	113-1/Mog/03	
AB239981	AB239981.1	116-1/Mog/03	
AB239982	AB239982.1	205-4R/Mog/03	
AB239983	AB239983.1	318-1/Mog/03	
AB239984	AB239984.1	405-1/Mog/03	
AB239985	AB239985.1	417-5R/Mog/03	
AB239986	AB239986.1	610-4R/Mog/03	
AB244319	AB244319.1	AB244319	
AB244320	AB244320.1	AB244320	
AB244321	AB244321.1	AB244321	
AB244322	AB244322.1	AB244322	
AB244323	AB244323.1	AB244323	
AB244324	AB244324.1	AB244324	
AB244325	AB244325.1	AB244325	
AB282808	AB282808.1	2304/CA10/Hyogo/2003	
AB282809	AB282809.1	3263/CA10/Hyogo/2005	
AB598060	AB598060.1	14/YN/CHN/2010/CA10	
AB598061	AB598061.1	16/YN/CHN/2010/CA10	
AB727981	AB727981.2	AB727981	
AB739049	AB739049.1	AB739049	
AB739052	AB739052.1	AB739052	
AB902817	AB902817.1	AB902817	
AB904612	AB904612.1	AB904612	
AB908254	AB908254.1	AB908254	
AF081300	AF081300.1	AF081300	
AF303042	AF303042.1	AF303042	
AF412346	AF412346.1	AF412346	
AJ295191	AJ295191.1	VR-168, ATCC	
AY694120	AY694120.1	AY694120	
AY694121	AY694121.1	AY694121	
AY697479	AY697479.2	AY697479	
AY903639	AY903639.1	AY903639	
AY919459	AY919459.1	10475	
AY956574	AY956574.1	AY956574	
AY956577	AY956577.1	AY956577	
DQ251300	DQ251300.1	Eps_CVA10	
DQ251344	DQ251344.1	Eps_CVA10	
DQ251391	DQ251391.1	Eps_CVA10	
DQ317287	DQ317287.1	NO-216	
DQ317288	DQ317288.1	NO-276/1	
DQ317289	DQ317289.1	NO-1049	
DQ317290	DQ317290.1	NO-83	
DQ317291	DQ317291.1	NO-149	
EU077514	EU077514.1	2004-1052	
FJ598088	FJ598088.1	China/GD331/2008	
FJ598089	FJ598089.1	China/GDsz1/2008	
FR796476	FR796476.1	ESP08/54572	
FR796477	FR796477.1	ESP08/54574	
FR796478	FR796478.1	ESP08/54575	
FR796480	FR796480.1	ESP08/54582	
FR796481	FR796481.1	ESP08/54599	
FR796482	FR796482.1	ESP08/54601	
FR796484	FR796484.1	ESP08/54622	
FR796485	FR796485.1	ESP08/54624	
FR796486	FR796486.1	ESP08/54628	
FR796487	FR796487.1	ESP08/54636	
FR796488	FR796488.1	ESP08/54667	
FR796489	FR796489.1	ESP08/54696	
FR796491	FR796491.1	ESP08/54698	
FR796492	FR796492.1	ESP08/54753	
FR796493	FR796493.1	ESP08/56643	
GQ214173	GQ214173.1	H450F/SD/CHN/2008/CA10	
GQ449272	GQ449272.1	CU30	
GQ914903	GQ914903.1	GQ914903	
GU198761	GU198761.1	NUH0029/SIN/08	
GU198762	GU198762.1	NUH0030/SIN/08	
GU248485	GU248485.1	GU248485	E
GU248486	GU248486.1	GU248486	
GU248487	GU248487.1	GU248487	
GU248488	GU248488.1	GU248488	
GU248489	GU248489.1	GU248489	H
GU248490	GU248490.1	GU248490	E
GU248491	GU248491.1	GU248491	I
GU248492	GU248492.1	GU248492	
GU248493	GU248493.1	GU248493	
GU248494	GU248494.1	GU248494	
GU248495	GU248495.1	GU248495	
GU248496	GU248496.1	GU248496	
GU248497	GU248497.1	GU248497	
GU248498	GU248498.1	GU248498	
GU248499	GU248499.1	GU248499	
GU248500	GU248500.1	GU248500	
GU248501	GU248501.1	GU248501	
GU248502	GU248502.1	GU248502	
GU248503	GU248503.1	GU248503	
GU248504	GU248504.1	GU248504	
GU248505	GU248505.1	GU248505	
GU248506	GU248506.1	GU248506	
GU248507	GU248507.1	GU248507	
GU248508	GU248508.1	GU248508	
GU248509	GU248509.1	GU248509	
GU248510	GU248510.1	GU248510	
GU248511	GU248511.1	GU248511	
GU248512	GU248512.1	GU248512	
GU248513	GU248513.1	GU248513	
GU248514	GU248514.1	GU248514	
GU248515	GU248515.1	GU248515	
GU248516	GU248516.1	GU248516	
GU248517	GU248517.1	GU248517	
GU248518	GU248518.1	GU248518	
GU248519	GU248519.1	GU248519	
GU248520	GU248520.1	GU248520	
GU248521	GU248521.1	GU248521	
GU248522	GU248522.1	GU248522	
GU248523	GU248523.1	GU248523	
GU248524	GU248524.1	GU248524	
GU248525	GU248525.1	GU248525	
GU248526	GU248526.1	GU248526	
GU947774	GU947774.1	GU947774	
GU947775	GU947775.1	GU947775	
GU947776	GU947776.1	GU947776	
GU947777	GU947777.1	GU947777	
GU947778	GU947778.1	GU947778	
GU947779	GU947779.1	GU947779	
GU947780	GU947780.1	GU947780	
GU947781	GU947781.1	GU947781	
GU947782	GU947782.1	GU947782	
GU947783	GU947783.1	GU947783	
GU947784	GU947784.1	GU947784	
GU947785	GU947785.1	GU947785	
GU947786	GU947786.1	GU947786	
GU947787	GU947787.1	GU947787	
HE572940	HE572940.1	CF091056_FRA10	
HE572941	HE572941.1	CF095027_FRA10	
HE572942	HE572942.1	CF099063_FRA10	
HE572943	HE572943.1	CF105027_FRA10	
HE572944	HE572944.1	CF117038_FRA10	
HE572945	HE572945.1	CF131039_FRA10	
HE572946	HE572946.1	CF139023_FRA10	
HE572947	HE572947.1	CF140087_FRA10	
HE572949	HE572949.1	CF145102_FRA10	
HE572950	HE572950.1	CF145110_FRA10	
HE572951	HE572951.1	CF147015_FRA10	
HE572952	HE572952.1	CF148028_FRA10	
HE572953	HE572953.1	CF152048_FRA10	
HE572954	HE572954.1	CF153028_FRA10	
HE572955	HE572955.1	CF153029_FRA10	
HE572956	HE572956.1	CF155030_FRA10	
HE572958	HE572958.1	CF159018_FRA10	
HE572959	HE572959.1	CF165027_FRA10	
HE572960	HE572960.1	CF166035_FRA10	
HE572961	HE572961.1	CF166102_FRA10	
HE572962	HE572962.1	CF168006_FRA10	
HE572963	HE572963.1	Cf169057_FRA10	
HE572964	HE572964.1	CF172049_FRA10	
HE572965	HE572965.1	CF173031_FRA10	
HE572966	HE572966.1	CF175079_FRA10	
HE572967	HE572967.1	CF176020_FRA10	
HE572968	HE572968.1	CF180024_FRA10	
HE572970	HE572970.1	CF180042_FRA10	
HE572971	HE572971.1	CF182026_FRA10	
HE572972	HE572972.1	CF182051_FRA10	
HE572973	HE572973.1	CF183020_FRA10	
HE572974	HE572974.1	CF183028_FRA10	
HE572975	HE572975.1	CF183032_FRA10	
HE572976	HE572976.1	CF183081_FRA10	
HE572977	HE572977.1	CF183082_FRA10	
HE572978	HE572978.1	CF187010_FRA10	
HE572979	HE572979.1	CF187011_FRA10	
HE572980	HE572980.1	CF187037_FRA10	
HE572981	HE572981.1	CF187038_FRA10	
HE572982	HE572982.1	CF190015_FRA10	
HE572983	HE572983.1	CF190016_FRA10	
HE572984	HE572984.1	CF190019_FRA10	
HE572985	HE572985.1	CF190020_FRA10	
HE572986	HE572986.1	CF194025_FRA10	
HE572987	HE572987.1	CF194026_FRA10	
HE572988	HE572988.1	CF194065_FRA10	
HE572989	HE572989.1	CF200029_FRA10	
HE572991	HE572991.1	CF204025_FRA10	
HE572992	HE572992.1	CF208032_FRA10	
HE573016	HE573016.1	CF204024_FRA10	
HM752803	HM752803.1	HM752803	
HM752813	HM752813.1	HM752813	
HM771633	HM771633.1	NUH0030/SIN/08	
HM771634	HM771634.1	NUH0029/SIN/08	
HQ005427	HQ005427.1	China/GD71/2009	
HQ005430	HQ005430.1	China/GD149/2009	
HQ005431	HQ005431.1	China/GD180/2009	
HQ122426	HQ122426.1	CA10-F-1815/Saransk/RU/2009	
HQ122431	HQ122431.1	CA10-F-1815/Saransk/RU/2009	
HQ424440	HQ424440.1	HQ424440	
HQ844648	HQ844648.1	105-YN-2008	
JN034210	JN034210.1	CV-A10/GERMANY2006/323	
JN034212	JN034212.1	CV-A10/GERMANY2006/322	
JN034213	JN034213.1	CV-A10/GERMANY2003/112	
JN034214	JN034214.1	CV-A10/GERMANY2005/282	
JN086572	JN086572.1	A10-1	
JN086573	JN086573.1	A10-2	
JN086574	JN086574.1	A10-3	
JN086575	JN086575.1	A10-4	
JN086576	JN086576.1	A10-5	
JN086577	JN086577.1	A10-6	
JN086578	JN086578.1	A10-7	
JN086579	JN086579.1	A10-8	
JN086580	JN086580.1	A10-9	
JN086581	JN086581.1	A10-10	
JN086582	JN086582.1	A10-11	
JN086583	JN086583.1	A10-12	
JN086584	JN086584.1	A10-13	
JN086585	JN086585.1	A10-14	
JN086586	JN086586.1	A10-15	
JN086587	JN086587.1	A10-16	
JN086588	JN086588.1	A10-17	
JN086589	JN086589.1	A10-18	
JN086590	JN086590.1	A10-19	
JN086591	JN086591.1	A10-20	
JN086592	JN086592.1	A10-21	
JN086593	JN086593.1	A10-22	
JN086594	JN086594.1	A10-23	
JN086595	JN086595.1	A10-24	
JN086596	JN086596.1	A10-25	
JN086597	JN086597.1	A10-26	
JN086598	JN086598.1	A10-27	
JN086599	JN086599.1	A10-28	
JN086600	JN086600.1	A10-29	
JN086601	JN086601.1	A10-30	
JN086602	JN086602.1	A10-31	
JN086603	JN086603.1	A10-32	
JN086604	JN086604.1	A10-33	
JN169020	JN169020.1	PUMCH3133Aug06	
JN169021	JN169021.1	PUMCH3628Oct06	
JN169022	JN169022.1	PUMCH6054Sep07	
JN169023	JN169023.1	PUMCH7319Jul08	
JN169024	JN169024.1	PUMCH8943Aug09	
JN169025	JN169025.1	PUMCH8957Aug09	
JN169026	JN169026.1	PUMCH7726Nov08	
JN203531	JN203531.1	N-734	
JN203532	JN203532.1	N-992	
JN255589	JN255589.1	CAF-SAN-06-064	
JN315992	JN315992.1	JN315992	
JN315993	JN315993.1	JN315993	
JN315994	JN315994.1	JN315994	
JN315995	JN315995.1	JN315995	
JN315996	JN315996.1	JN315996	
JN315997	JN315997.1	JN315997	
JN315998	JN315998.1	JN315998	
JN315999	JN315999.1	JN315999	
JN316000	JN316000.1	JN316000	
JN316001	JN316001.1	JN316001	
JN316002	JN316002.1	JN316002	
JN316003	JN316003.1	JN316003	
JN316004	JN316004.1	JN316004	
JN316005	JN316005.1	JN316005	
JN316006	JN316006.1	JN316006	
JN316007	JN316007.1	JN316007	
JN316008	JN316008.1	JN316008	
JN316009	JN316009.1	JN316009	
JN316010	JN316010.1	JN316010	
JN316011	JN316011.1	JN316011	
JN316012	JN316012.1	JN316012	
JN573342	JN573342.1	6-1	
JN573343	JN573343.1	6-2	
JN573344	JN573344.1	6-3	
JN573345	JN573345.1	7-1	
JN573346	JN573346.1	7-2	
JN573347	JN573347.1	8-1	
JN573348	JN573348.1	8-2	
JN639886	JN639886.1	M10MJ20	
JN639887	JN639887.1	M10F76	
JN639888	JN639888.1	F75AN	
JN639889	JN639889.1	M10F74	
JN639890	JN639890.1	M10H17	
JN639892	JN639892.1	M11MG16	
JN896779	JN896779.1	JN896779	G
JN896784	JN896784.1	JN896784	
JN896787	JN896787.2	JN896787	
JN896789	JN896789.1	JN896789	
JN896798	JN896798.1	JN896798	
JN896799	JN896799.1	JN896799	G
JN896804	JN896804.1	JN896804	
JN896805	JN896805.1	JN896805	
JN990932	JN990932.1	JN990932	
JN990979	JN990979.1	JN990979	
JQ239007	JQ239007.1	CV-A10/SWEDEN2004/L0430-9	
JQ320204	JQ320204.1	JQ320204	
JQ320208	JQ320208.1	JQ320208	
JQ320229	JQ320229.1	JQ320229	
JQ320248	JQ320248.1	JQ320248	
JQ320252	JQ320252.1	JQ320252	
JQ320273	JQ320273.1	JQ320273	
JQ411088	JQ411088.1	JQ411088	
JQ518455	JQ518455.1	JQ518455	
JQ518456	JQ518456.1	JQ518456	
JQ518474	JQ518474.1	JQ518474	
JQ518477	JQ518477.1	JQ518477	
JQ886642	JQ886642.1	54-YN-2007AFP	
JQ968951	JQ968951.1	250-YN-2006AFP	
JX009030	JX009030.1	08T65022	
JX009031	JX009031.1	08M50227	
JX009032	JX009032.1	08F22608	
JX009033	JX009033.1	08T2181	
JX009034	JX009034.1	08H33322	
JX009035	JX009035.1	08W12195	
JX009071	JX009071.1	08T2181	
JX154970	JX154970.2	CVA10-SHZH2010-0501	
JX154971	JX154971.2	CVA10-SHZH2010-0502	
JX154972	JX154972.2	CVA10-SHZH2010-0701	
JX154973	JX154973.2	CVA10-SHZH2010-0702	
JX154974	JX154974.1	CVA10-SHZH2010-0703	
JX154975	JX154975.2	CVA10-SHZH2010-0801	
JX154976	JX154976.2	CVA10-SHZH2010-0802	
JX154978	JX154978.2	CVA10-SHZH2010-0901	
JX154979	JX154979.2	CVA10-SHZH2010-0902	
JX154980	JX154980.2	CVA10-SHZH2010-0903	
JX154981	JX154981.2	CVA10-SHZH2010-0904	
JX154982	JX154982.2	CVA10-SHZH2010-1001	
JX181929	JX181929.1	CVA10-HL2010003	
JX473446	JX473446.2	CVA10-SHZH2011-0501	
JX473447	JX473447.2	CVA10-SHZH2011-0502	
JX473448	JX473448.1	CVA10-SHZH2011-0601	
JX473449	JX473449.2	CVA10-SHZH2011-0602	
JX473450	JX473450.2	CVA10-SHZH2011-0603	
JX473451	JX473451.2	CVA10-SHZH2011-0604	
JX473452	JX473452.2	CVA10-SHZH2011-0801	
JX473453	JX473453.2	CVA10-SHZH2011-0901	
JX473454	JX473454.2	CVA10-SHZH2011-0902	
JX473455	JX473455.2	CVA10-SHZH2011-0903	
JX473456	JX473456.2	CVA10-SHZH2011-0904	
JX473457	JX473457.1	CVA10-SHZH2011-0905	
JX473458	JX473458.2	CVA10-SHZH2011-1101	
JX473459	JX473459.2	CVA10-SHZH2011-1102	
JX473460	JX473460.2	CVA10-SHZH2011-1103	
JX473461	JX473461.2	CVA10-SHZH2011-1104	
JX473462	JX473462.2	CVA10-SHZH2011-1105	
JX473463	JX473463.1	CVA10-SHZH2011-1106	
JX473464	JX473464.1	CVA10-SHZH2011-1201	
JX476140	JX476140.1	NIV091895LV187	
JX476141	JX476141.1	NIV09952LV55	
JX538055	JX538055.1	JX538055	
JX538063	JX538063.1	JX538063	
JX538064	JX538064.1	JX538064	
JX538065	JX538065.1	JX538065	
JX538066	JX538066.1	JX538066	
JX538076	JX538076.1	JX538076	
JX538121	JX538121.1	JX538121	
JX569076	JX569076.1	JX569076	
JX947710	JX947710.1	CQ1014	
JX947711	JX947711.1	CQ108	
JX947712	JX947712.1	CQ118	
JX947713	JX947713.1	CQ1462	
JX947714	JX947714.1	CQ1509	
JX947715	JX947715.1	CQ1533	
JX947716	JX947716.1	CQ1643	
JX947717	JX947717.1	CQ1654	
JX947718	JX947718.1	CQ1702	
JX947719	JX947719.1	CQ1703	
JX947720	JX947720.1	CQ191	
JX947721	JX947721.1	CQ660	
JX947722	JX947722.1	CQ663	
JX947723	JX947723.1	CQ699	
JX947724	JX947724.1	CQ718	
JX947725	JX947725.1	CQ723	
JX947726	JX947726.1	CQ730	
JX947727	JX947727.1	CQ745	
JX947728	JX947728.1	CQ758	
JX947729	JX947729.1	CQ764	
JX947730	JX947730.1	CQ768	
JX947731	JX947731.1	CQ773	
JX947732	JX947732.1	CQ790	
JX947733	JX947733.1	CQ814	
JX947734	JX947734.1	CQ824	
JX947735	JX947735.1	CQ825	
JX947736	JX947736.1	HN1104	
JX947737	JX947737.1	HN1152	
JX947738	JX947738.1	HN1223	
JX947739	JX947739.1	SD1261	
JX947740	JX947740.1	SD1345	
JX947741	JX947741.1	SD204	
JX947742	JX947742.1	SD207	
JX947743	JX947743.1	SD210	
JX947744	JX947744.1	SD229	
JX947745	JX947745.1	SD254	
JX947746	JX947746.1	SD265	
JX947747	JX947747.1	SD266	
JX947748	JX947748.1	SD267	
JX947749	JX947749.1	SD268	
JX947750	JX947750.1	SD275	
JX947751	JX947751.1	SD279	
JX947752	JX947752.1	SD297	
JX947753	JX947753.1	SD302	
JX947754	JX947754.1	SD331	
JX947755	JX947755.1	SD335	
JX947756	JX947756.1	SD347	
JX947757	JX947757.1	SD350	
JX947758	JX947758.1	SD353	
JX947759	JX947759.1	SD356	
JX947760	JX947760.1	SD357	
JX947761	JX947761.1	SD382	
JX947762	JX947762.1	SD398	
JX947763	JX947763.1	SD401	
JX947764	JX947764.1	SD407	
JX947765	JX947765.1	SD408	
JX947766	JX947766.1	SD418	
JX947767	JX947767.1	SD421	
JX947768	JX947768.1	SD422	
JX947769	JX947769.1	SD423	
JX947770	JX947770.1	SD425	
JX947771	JX947771.1	SD433	
JX947772	JX947772.1	SD437	
JX947773	JX947773.1	SD457	
JX947774	JX947774.1	SD461	
JX947775	JX947775.1	SD462	
JX947776	JX947776.1	SD477	
JX947777	JX947777.1	SD495	
JX947778	JX947778.1	SD554	
JX947779	JX947779.1	SD557	
JX947780	JX947780.1	SD559	
JX947781	JX947781.1	SD560	
JX947782	JX947782.1	SD598	
JX947783	JX947783.1	SD607	
JX947784	JX947784.1	SD613	
JX947785	JX947785.1	SD634	
JX947786	JX947786.1	SD639	
JX947787	JX947787.1	SD650	
JX947788	JX947788.1	SD843	
JX947789	JX947789.1	SD845	
JX947790	JX947790.1	SD867	
JX947791	JX947791.1	SD877	
JX947792	JX947792.1	CQ108	
JX947793	JX947793.1	CQ118	
JX947794	JX947794.1	SD554	
JX947795	JX947795.1	SD557	
JX947796	JX947796.1	SD560	
JX947797	JX947797.1	SD433	
JX947798	JX947798.1	SD650	
JX947799	JX947799.1	SD598	
JX947800	JX947800.1	SD634	
JX947801	JX947801.1	SD639	
JX947802	JX947802.1	SD254	
JX947803	JX947803.1	CQ845	
JX947804	JX947804.1	HN1104	
JX947805	JX947805.1	CQ660	
JX947806	JX947806.1	CQ764	
JX947807	JX947807.1	CQ723	
JX947808	JX947808.1	CQ1643	
JX947809	JX947809.1	CQ745	
JX947810	JX947810.1	CQ768	
