accession	accession_version	database	sra_accessions	strain	region	location	date	date_released	date_updated	length	host	isolate-lineage-source	biosample_accessions	authors	institution	submitter_country	country	division	abbr_authors	clade	qc.overallScore	qc.overallStatus	alignmentScore	alignmentStart	alignmentEnd	genome_coverage	age	gender	symptoms	published_clade
AB114120	AB114120.1	GenBank		P-513/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1476	2648	7048	0.594007288432987				
AB114121	AB114121.1	GenBank		P-553/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1476	2648	7048	0.594007288432987				
AB114122	AB114122.1	GenBank		P-560/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1476	2648	7048	0.594007288432987				
AB114123	AB114123.1	GenBank		P-562/CA10/Kanagawa/2000	Asia		XXXX-XX-XX	2003-07-09	2016-07-25	689	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Fujimoto,T.,Yoshida,T.,Yoshida,H.,Miyamura,T.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1472	2648	7048	0.594007288432987				
AB114142	AB114142.1	GenBank		Sivas/T52/K01	Europe		XXXX-XX-XX	2005-07-02	2016-07-26	207				Ozkaya,E.,Ishiko,H.,Miyamura,K.	"Hiroaki Ishiko, Mitsubishi Kagaku Bio-Clinical Laboratories, Inc., Research and Development Department; Shimura 3-30-1, Itabashi-ku, Tokyo 174-8555"	Japan	Turkey		"Ozkaya et al."											
AB119638	AB119638.1	GenBank		CA10/800387/Hiroshima.JP/00	Asia		XXXX-XX-XX	2003-09-09	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectual Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1578	2601	3334	0.0990687002294507				H
AB119639	AB119639.1	GenBank		CA10/80004/Hiroshima.JP/01	Asia		XXXX-XX-XX	2003-09-09	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectual Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1574	2601	3334	0.0990687002294507				H
AB119640	AB119640.1	GenBank		CA10/20051/Hiroshima.JP/03	Asia		XXXX-XX-XX	2003-09-09	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectual Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1594	2601	3334	0.0990687002294507				E
AB119641	AB119641.1	GenBank		CA10/20055/Hiroshima.JP/03	Asia		XXXX-XX-XX	2003-09-09	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectual Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1602	2601	3334	0.0990687002294507				
AB121044	AB121044.1	GenBank		CA10/80235/Hiroshima.JP/03	Asia		XXXX-XX-XX	2003-09-27	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectural Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1598	2601	3334	0.0990687002294507				
AB121045	AB121045.1	GenBank		CA10/20096/Hiroshima.JP/03	Asia		XXXX-XX-XX	2003-09-27	2016-07-25	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectural Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1598	2601	3334	0.0990687002294507				
AB126205	AB126205.1	GenBank		P-2206/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2003-11-15	2016-07-26	1119	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	2458	78	1190	0.150222702119044				
AB126206	AB126206.1	GenBank		P-2211/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2003-11-15	2016-07-26	1029	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0.444444	good	2317	76	1098	0.137940342826292				
AB126207	AB126207.1	GenBank		P-2257/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2003-11-15	2016-07-26	618	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1257	575	1190	0.0831421244432447				
AB126614	AB126614.1	GenBank		CA10/80269/Hiroshima.JP/03	Asia		XXXX-XX-XX	2003-11-21	2016-07-26	734				Takao,S.,Shimazu,Y.,Kuwayama,M.,Fukuda,S.,Miyazaki,K.	"Shinichi Takao, Hiroshima Prefectural Institute of Health and Environment, Microbiology II; Minami-machi, 1-6-29, Hiroshima, Minami-ku, Hiroshima 734-0007"	Japan	Japan	Hiroshima	"Takao et al."		0	good	1594	2601	3334	0.0990687002294507				
AB162727	AB162727.1	GenBank		P-2206/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	695	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1449	2617	5491	0.388041571062222				C
AB162728	AB162728.1	GenBank		P-2208/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	693	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1508	2621	3466	0.114185450128222				E
AB162729	AB162729.1	GenBank		P-2211/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	714	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1545	2612	6909	0.580105277365366				
AB162730	AB162730.1	GenBank		P-2252/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	691	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1462	2617	3496	0.11877446349035				
AB162741	AB162741.1	GenBank		P-2233/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	624	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."											
AB162742	AB162742.1	GenBank		P-2252/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	946	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	2094	256	2573	0.31286273451208				
AB162743	AB162743.1	GenBank		P-2267/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	1120	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		4	good	2457	78	1192	0.150087731137805				
AB162744	AB162744.1	GenBank		P-2283/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	979	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	2126	222	6952	0.908489674719935				
AB162745	AB162745.1	GenBank		P-2297/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	633	"Homo sapiens"	oronasopharynx		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."											
AB162746	AB162746.1	GenBank		HC77csf/CA10/Kanagawa/2003	Asia		XXXX-XX-XX	2004-02-20	2016-07-26	635	"Homo sapiens"	"cerebrospinal fluid"		Munemura,T.,Saikusa,M.,Kawakami,C.,Ichinose,C.	"Department of virology; 1-2-17 Takigashira, Isogo, Yokohama, Kanagawa 235-0012"	Japan	Japan		"Munemura et al."		0	good	1250	548	1194	0.0873262248616547				
AB167759	AB167759.1	GenBank		Aichi/421/92	Asia		XXXX-XX-XX	2005-07-02	2016-07-26	207				Etem,O.,Ishiko,H.,Miyamura,K.	"Hiroaki Ishiko, Mitsubishi Kagaku Bio-Clinical Laboratories Inc., Research and Development Department; Simura 3-30-1, Itabashi-ku, Tokyo 174-8555"	Japan	Japan	Aichi	"Etem et al."		0	good	445	745	951	0.02793899311648				
AB167982	AB167982.1	GenBank		03-137NPR2	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1466	2629	3298	0.0904305574301525				
AB167983	AB167983.1	GenBank		03-139NGR2	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1470	2629	3298	0.0904305574301525				
AB167984	AB167984.1	GenBank		03-146NPC2	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	661				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1452	2629	5650	0.40788230530436				
AB167985	AB167985.1	GenBank		03-148NPC3	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1470	2629	3298	0.0904305574301525				
AB167986	AB167986.1	GenBank		03-150NPC3	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1462	2629	3298	0.0904305574301525				E
AB167987	AB167987.1	GenBank		03-152NPR2	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1470	2629	3298	0.0904305574301525				
AB167988	AB167988.1	GenBank		03-154NPR3	Asia		XXXX-XX-XX	2004-03-19	2016-07-26	670				Wakatsuki,K.,Yamasaki,S.,Manabe,K.,Takeda,A.	"Kiyoko Wakatsuki, Fukuoka City Institute for Hygiene and Environment; Jigyohama2-1-34, Chuo-ku Fukuoka, Fukuoka 810-0065"	Japan	Japan		"Wakatsuki et al."		0	good	1462	2629	3298	0.0904305574301525				
AB239932	AB239932.1	GenBank		113-1/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	518		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."		0	good	1126	2677	3194	0.0699149682818194				
AB239980	AB239980.1	GenBank		113-1/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	410		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."		0	good	854	745	1154	0.0553381023080038				
AB239981	AB239981.1	GenBank		116-1/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	382		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."											
AB239982	AB239982.1	GenBank		205-4R/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	417		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."		0	good	859	745	1161	0.056282899176677				
AB239983	AB239983.1	GenBank		318-1/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	346		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."											
AB239984	AB239984.1	GenBank		405-1/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	378		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."											
AB239985	AB239985.1	GenBank		417-5R/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	410		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."		0	good	846	745	1154	0.0553381023080038				
AB239986	AB239986.1	GenBank		610-4R/Mog/03	Asia		XXXX-XX-XX	2005-11-03	2016-07-26	416		feces		Kuramitsu,M.,Kuroiwa,C.,Yoshida,H.,Miyoshi,M.,Okumura,J.,Shimizu,H.,Narantuya,L.,Bat-Ochir,D.	"Virology ll; Gakuen 4-7-1, Musashimurayama-shi, Tokyo 208-0011"	Japan	Mongolia		"Kuramitsu et al."		0	good	864	745	1160	0.056147928195438				
AB244319	AB244319.1	GenBank		AB244319	Asia		2000-XX-XX	2005-12-14	2016-07-26	343	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	737	745	1087	0.0462950465649885				
AB244320	AB244320.1	GenBank		AB244320	Asia		2001-XX-XX	2005-12-14	2016-07-26	400	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	824	745	1144	0.0539883924956134				
AB244321	AB244321.1	GenBank		AB244321	Asia		2002-XX-XX	2005-12-14	2016-07-26	336	"Homo sapiens"	feces		Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		4	good	716	745	1081	0.0454852206775543				
AB244322	AB244322.1	GenBank		AB244322	Asia		2003-XX-XX	2005-12-14	2016-07-26	654	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	1367	547	1199	0.0881360507490889				
AB244323	AB244323.1	GenBank		AB244323	Asia		2004-XX-XX	2005-12-14	2016-07-26	652	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	1400	548	1199	0.0880010797678499				
AB244324	AB244324.1	GenBank		AB244324	Asia		2005-XX-XX	2005-12-14	2016-07-26	654	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	1368	548	1200	0.0881360507490889				
AB244325	AB244325.1	GenBank		AB244325	Asia		2005-XX-XX	2005-12-14	2016-07-26	654	"Homo sapiens"			Yamashita,T.,Ito,M.,Taniguchi,A.,Sakae,K.	"Departmant of Microbiology; 7-6, Nagare, Tsujimachi, Kita-ku, Nagoya, Aichi 462-8576"	Japan	Japan	Aichi	"Yamashita et al."		0	good	1357	548	1199	0.0880010797678499				
AB282808	AB282808.1	GenBank		2304/CA10/Hyogo/2003	Asia		XXXX-XX-XX	2006-11-18	2016-07-14	602	"Homo sapiens"	oronasopharynx		Munemura,T.,Fujimoto,T.,Chikahira,M.,Kimura,H.,Nishio,O.,Yoshida,H.,Okabe,N.,Tsuji,T.	"Department of Microbiology; 2-4-41 Ebara, Shinagawa-ku, Tokyo 142-8501"	Japan	Japan		"Munemura et al."		0.444444	good	1253	551	1171	0.0836820083682008				
AB282809	AB282809.1	GenBank		3263/CA10/Hyogo/2005	Asia		XXXX-XX-XX	2006-11-18	2016-07-14	602	"Homo sapiens"	oronasopharynx		Munemura,T.,Fujimoto,T.,Chikahira,M.,Kimura,H.,Nishio,O.,Yoshida,H.,Okabe,N.,Tsuji,T.	"Department of Microbiology; 2-4-41 Ebara, Shinagawa-ku, Tokyo 142-8501"	Japan	Japan		"Munemura et al."		0.444444	good	1228	569	1171	0.0812525307058982				
AB598060	AB598060.1	GenBank		14/YN/CHN/2010/CA10	Asia	"Zhoutong Prefecture"	2010-XX-XX	2010-11-03	2016-07-25	733	"Homo sapiens"	feces		Tang,J.,Tian,B.,Lu,L.,Ding,Z.,Zhang,J.,Yoshida,H.	"Virology ll; Gakuen 4-7-1, Musashimurayama, Tokyo 2080011"	Japan	China	"Yunnan Province"	"Tang et al."		0	good	1555	2598	3330	0.0989337292482116				
AB598061	AB598061.1	GenBank		16/YN/CHN/2010/CA10	Asia	"Zhoutong Prefecture"	2010-XX-XX	2010-11-03	2016-07-25	733	"Homo sapiens"	feces		Tang,J.,Tian,B.,Lu,L.,Ding,Z.,Zhang,J.,Yoshida,H.	"Virology ll; Gakuen 4-7-1, Musashimurayama, Tokyo 2080011"	Japan	China	"Yunnan Province"	"Tang et al."		0	good	1555	2598	3330	0.0989337292482116				
AB727981	AB727981.2	GenBank		AB727981	Asia		2005-06-16	2012-06-15	2012-06-19	598	"Homo sapiens"	feces		Tian,B.,Tang,J.,Zhang,J.	"EPI; 158 Dongsi street, Kunming, Yunnan 650022"	China	China	Yunnan	"Tian et al."		0	good	1239	2656	3943	0.173842623835875				
AB739049	AB739049.1	GenBank		AB739049	Asia		2011-03-04	2012-08-03	2012-08-04	403	"Homo sapiens"	feces		Tian,B.,Tang,J.,Zhang,J.	"Expanded Program on Immunizaiton; 158 Dongsi street, Kunming, Yunnan 650022"	China	China		"Tian et al."		0	good	866	2902	5485	0.348765015521663				
AB739052	AB739052.1	GenBank		AB739052	Asia		2011-02-16	2012-08-03	2012-08-04	465	"Homo sapiens"	feces		Tian,B.,Tang,J.,Zhang,J.	"Expanded Program on Immunizaiton; 158 Dongsi street, Kunming, Yunnan 650022"	China	China		"Tian et al."		4	good	945	2457	2919	0.0624915643136726				
